Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Connector,Flowchart Shapes,1,,107,,,,,
3,Right Arrow,Geometric Shapes,1,,107,,,,,
4,Connector,Flowchart Shapes,1,,108,,,,,
5,Right Arrow,Geometric Shapes,1,,108,,,,,
6,Connector,Flowchart Shapes,1,,109,,,,,
7,Right Arrow,Geometric Shapes,1,,109,,,,,
8,Circle,Geometric Shapes,1,,,,,,,
9,Circle,Geometric Shapes,1,,,,,,,
10,Circle,Geometric Shapes,1,,,,,,,
11,Circle,Geometric Shapes,1,,110,,,,,
12,Rectangle,Geometric Shapes,1,,110,,,,,
13,Pythagorean theorem,Equations,1,,110,,,,,
14,Rectangle,Geometric Shapes,1,,110,,,,,
15,Rectangle,Geometric Shapes,1,,110,,,,,
16,Circle,Geometric Shapes,1,,111,,,,,
17,Rectangle,Geometric Shapes,1,,111,,,,,
18,Pythagorean theorem,Equations,1,,111,,,,,
19,Rectangle,Geometric Shapes,1,,111,,,,,
20,Rectangle,Geometric Shapes,1,,111,,,,,
21,Circle,Geometric Shapes,1,,112,,,,,
22,Rectangle,Geometric Shapes,1,,112,,,,,
23,Pythagorean theorem,Equations,1,,112,,,,,
24,Rectangle,Geometric Shapes,1,,112,,,,,
25,Rectangle,Geometric Shapes,1,,112,,,,,
26,Circle,Geometric Shapes,1,,,,,,,
27,Circle,Geometric Shapes,1,,,,,,,
28,Circle,Geometric Shapes,1,,,,,,,
29,Circle,Geometric Shapes,1,,113,,,,,
30,Rectangle,Geometric Shapes,1,,113,,,,,
31,Pythagorean theorem,Equations,1,,113,,,,,
32,Rectangle,Geometric Shapes,1,,113,,,,,
33,Rectangle,Geometric Shapes,1,,113,,,,,
34,Circle,Geometric Shapes,1,,114,,,,,
35,Rectangle,Geometric Shapes,1,,114,,,,,
36,Pythagorean theorem,Equations,1,,114,,,,,
37,Rectangle,Geometric Shapes,1,,114,,,,,
38,Rectangle,Geometric Shapes,1,,114,,,,,
39,Circle,Geometric Shapes,1,,115,,,,,
40,Rectangle,Geometric Shapes,1,,115,,,,,
41,Pythagorean theorem,Equations,1,,115,,,,,
42,Rectangle,Geometric Shapes,1,,115,,,,,
43,Rectangle,Geometric Shapes,1,,115,,,,,
44,Circle,Geometric Shapes,1,,,,,,,
45,Circle,Geometric Shapes,1,,,,,,,
46,Circle,Geometric Shapes,1,,,,,,,
47,Circle,Geometric Shapes,1,,116,,,,,
48,Rectangle,Geometric Shapes,1,,116,,,,,
49,Pythagorean theorem,Equations,1,,116,,,,,
50,Rectangle,Geometric Shapes,1,,116,,,,,
51,Rectangle,Geometric Shapes,1,,116,,,,,
52,Circle,Geometric Shapes,1,,117,,,,,
53,Pythagorean theorem,Equations,1,,117,,,,,
54,Circle,Geometric Shapes,1,,118,,,,,
55,Pythagorean theorem,Equations,1,,118,,,,,
56,Circle,Geometric Shapes,1,,119,,,,,
57,Pythagorean theorem,Equations,1,,119,,,,,
58,Circle,Geometric Shapes,1,,,,,,,
59,Circle,Geometric Shapes,1,,,,,,,
60,Circle,Geometric Shapes,1,,,,,,,
61,Custom Shape,Geometric Shapes,1,,,,,,, Softmax
62,Curly Brace Note,Flowchart Shapes,1,,,,,,,Warstwa wyjściowa z funkcją softmax  10 neuronów
63,Curly Brace Note,Flowchart Shapes,1,,,,,,,Warstwa ukryta z funkcją ReLU 40 neuronów
64,Curly Brace Note,Flowchart Shapes,1,,,,,,,Warstwa ukryta z funkcją ReLU 12 neuronów
65,Curly Brace Note,Flowchart Shapes,1,,,,,,,Warstwa wejściowa 784 elementy
66,Connector,Flowchart Shapes,1,,120,,,,,
67,Right Arrow,Geometric Shapes,1,,120,,,,,
68,Line,,1,,,3,11,None,Arrow,
69,Line,,1,,,3,18,None,Arrow,
70,Line,,1,,,3,23,None,Arrow,
71,Line,,1,,,5,13,None,Arrow,
72,Line,,1,,,5,18,None,Arrow,
73,Line,,1,,,5,23,None,Arrow,
74,Line,,1,,,7,21,None,Arrow,
75,Line,,1,,,7,18,None,Arrow,
76,Line,,1,,,7,11,None,Arrow,
77,Line,,1,,,11,49,None,Arrow,
78,Line,,1,,,11,31,None,Arrow,
79,Line,,1,,,11,36,None,Arrow,
80,Line,,1,,,11,41,None,Arrow,
81,Line,,1,,,16,47,None,Arrow,
82,Line,,1,,,16,29,None,Arrow,
83,Line,,1,,,16,34,None,Arrow,
84,Line,,1,,,16,41,None,Arrow,
85,Line,,1,,,21,47,None,Arrow,
86,Line,,1,,,21,31,None,Arrow,
87,Line,,1,,,21,36,None,Arrow,
88,Line,,1,,,21,41,None,Arrow,
89,Line,,1,,,47,52,None,Arrow,
90,Line,,1,,,47,54,None,Arrow,
91,Line,,1,,,47,56,None,Arrow,
92,Line,,1,,,29,52,None,Arrow,
93,Line,,1,,,29,54,None,Arrow,
94,Line,,1,,,29,56,None,Arrow,
95,Line,,1,,,34,52,None,Arrow,
96,Line,,1,,,34,54,None,Arrow,
97,Line,,1,,,34,56,None,Arrow,
98,Line,,1,,,39,52,None,Arrow,
99,Line,,1,,,39,54,None,Arrow,
100,Line,,1,,,39,56,None,Arrow,
101,Line,,1,,,52,,None,Arrow,
