Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,MinimalTextBlock,Standard,1,,,,,,,Tworzenie biblioteki
3,MinimalTextBlock,Standard,1,,,,,,,Paczka IP  (component.xml)
4,MinimalTextBlock,Standard,1,,,,,,,Mapowanie funkcji
5,Document,Flowchart Shapes,1,,,,,,,
6,Document,Flowchart Shapes,1,,,,,,,
7,Document,Flowchart Shapes,1,,,,,,,
8,MinimalTextBlock,Standard,1,,28,,,,,Plik nn.hpp
9,Process,Flowchart Shapes,1,,28,,,,,"#define NN_HPP_ void nn(...);"
10,MinimalTextBlock,Standard,1,,29,,,,,Parametry IP
11,Process,Flowchart Shapes,1,,29,,,,,
12,Process,Flowchart Shapes,1,,,,,,,nn input:s_axi_AXILiteS:in:1024 output:s_axi_AXILiteS:out:2048
13,Process,Flowchart Shapes,1,,,,,,,sdx_pack
14,MinimalTextBlock,Standard,1,,,,,,,Biblioteka
15,Document,Flowchart Shapes,1,,,,,,,libnn.a
16,MinimalTextBlock,Standard,1,,,,,,,Używanie biblioteki
17,Process,Flowchart Shapes,1,,30,,,,,"#include ""nn.hpp"" void main() {   ...   nn(input, output);   ..."
18,Process,Flowchart Shapes,1,,,,,,,SDx IDE Opcje linkowania -lnn -L <libnn.a_path>
19,Line,,1,,,5,13,None,Arrow,
20,Line,,1,,,9,13,None,Arrow,
21,Line,,1,,,11,13,None,Arrow,
22,Line,,1,,,12,13,None,Arrow,
23,Line,,1,,,,,None,None,
24,Line,,1,,,,,None,None,
25,Line,,1,,,13,15,None,Arrow,
26,Line,,1,,,15,18,None,Arrow,
27,Line,,1,,,17,18,None,Arrow,
28,Group 1,,1,,,,,,,
29,Group 2,,1,,,,,,,
30,Group 3,,1,,,,,,,
